last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Nakayachi,,,"Current Psychology (New Brunswick, N.j.)",Springer US,"Attribution of success and failure revisited, or: The motivational bias is alive and well in attribution theory",Yokoi,2,,1979
Harpaz-Rotem                    Ilan,,,Chronic Stress,SAGE Publications,Is meditation associated with altered brain structure? A systematic review and meta-analysis of morphometric neuroimaging in meditation practitioners,Averill,7,,2014
Zhou                    Weiqiang,,,Cell Death Discovery,Nature Publishing Group,Akt/AMPK/mTOR pathway was involved in the autophagy induced by vitamin E succinate in human gastric cancer SGC-7901 cells,Han                    Han,6,,2017
Eguizabal                    Cristina,,,Immunology,John Wiley and Sons Inc.,A phase I/II dose‐escalation single center study to evaluate the safety of infusion of memory t cells as adoptive therapy in coronavirus pneumonia and /or lymphopenia (release),Herrera                    Lara,15,,2021
Burge,,,Advances in Therapy,Springer Healthcare,A cost-effectiveness framework for COVID-19 treatments for hospitalized patients in the United States,Kelton                    Kari,8,,2021
Wang                    Lei,,,Cancer Cell International,BioMed Central,Comparison of 22C3 PD-L1 expression between surgically resected specimens and paired tissue microarrays in non-small cell lung cancer,Ye                    Min,9,,2017
Supej                    Matej,,,"Sensors (Basel, Switzerland)",Springer,Kinetic analysis of ski turns based on measured ground reaction forces,Nemec                    Bojan,4,,2012
Ciancio                    Alessia,,,Cells,MDPI,Scaling up prevention and treatment towards the elimination of hepatitis C: A global mathematical model,Mangia,11,,2019
Dahdouh-Guebas                    Farid,,,Journal of Ethnobiology and Ethnomedicine,International Tropical Timber Organisation/Japan International Association for Mangroves/International Society for Mangrove Ecosystems Japan,"Remote Sensing and Ethnobotanical Assessment of the Mangrove Forest Changes in the Navachiste-San Ignacio-Macapule Lagoon Complex, Sinaloa, Mexico",Atheull                    Adolphe   Nfotabong,5,,2005
Hauschka                    Stephen D,,,Skeletal Muscle,Cold Spring Harbor: Cold Spring Harbor Laboratory Press,Model-based analysis of ChIP-Seq (MACS),Tai                    Phillip WL,10,,1989
Wu                    Jiunn-Jong,,,Frontiers in Microbiology,Frontiers Media S.A.,Exogenous NAD+ decreases oxidative stress and protects H2O2-treated RPE cells against necrotic death through the up-regulation of autophagy.,Hsieh                    Cheng-Lu,15,,2016
Vyse                    Timothy J,        1506       ,,Annals of the Rheumatic Diseases,Mosby,Integrin CD11c contributes to monocyte adhesion with CD11b in a differential manner and requires Src family kinase activity.,Rhodes                    Benjamin,7,,2008
Shao                    Guofeng,,,Aging (Albany NY),Impact Journals,Utility of High-Sensitivity and Conventional Troponin in Patients Undergoing Transcatheter Aortic Valve Replacement: Incremental Prognostic Value to B-type Natriuretic Peptide.,Li                    Ni,13,,2019
Wei                    Jian-Jie,,,Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,Superoxide anion scavenge effect of,Gu                    Xiang,3,,2012
Zheng,,,International Journal of General Medicine,Dove,Aberrant regulation of synovial T cell activation by soluble costimulatory molecules in rheumatoid arthritis,Lin                    Xiuxiu,8,,2006
Kukar,,,Molecular Neurodegeneration,BioMed Central,Engineered Trehalose Permeable to Mammalian Cells,Holler                    Christopher J.,12,,2015
Kurppa                    Kalle,,,Frontiers in Nutrition,Frontiers Media S.A.,Tests for serum transglutaminase and endomysial antibodies do not detect most patients with Celiac disease and persistent villous atrophy on gluten-free diets: a meta-analysis,Kivelä                    Laura,6,,2017
Blanco                          Ruth,,,The British Journal of Surgery,WHO,Sustainability and long‐term effectiveness of the WHO surgical safety checklist combined with pulse oximetry in a resource‐limited setting: two‐year update from Moldova,,3446,,2015
Lee                    Chon-Lin,,,PLoS ONE,Cambridge University Press,Quantifying rainfall controls on catchment-scale landslide erosion in Taiwan,Lee                    Tsung-Yu,7,,2013
Kim                    Jae Hwang,,,Nuclear Medicine and Molecular Imaging,Springer Berlin Heidelberg,Tumour ADC measurements in rectal cancer: Effect of ROI methods on ADC values and interobserver variability,Jeong                    Ju Hye,6,,2011
Lisacek                    Frédérique,,,Molecular & Cellular Proteomics : MCP,Springer New York,Composition of N-linked carbohydrates from ovalbumin and co-purified glycoproteins,Robin                    Thibault,3,,2000
Martin                    Bronwen,,,Frontiers in Endocrinology,Italian Society of Immunology,Prediction of incident diabetes mellitus by baseline IGF1 levels,Wang                    Rui,8,,2011
Isalan                    Mark,          Gene Therapy         ,,PLoS ONE,Public Library of Science,Gene targeting by homologous recombination in mouse zygotes mediated by zinc-finger nucleases,Ramakrishna                    Suresh,4,,2010
Lim                    Young-Suk,        Clinical Trial Report       ,,"Drug Design, Development and Therapy",Dove,Renal safety of tenofovir and/or entecavir in patients with chronic HBV monoinfection,Yim,20,,2017
Avenanti                    Alessio,           Autonomic Nervous System          ,,PLoS ONE,Sage,Facial skin temperature decreases in infants with joyful expression,Ioannou,7,,2008
Su,,,Cell Death & Disease,Nature Publishing Group UK,BRAF(V600E) overrides NOTCH signaling in thyroid cancer,Peng,13,,2021
Su                    Bor-Chyuan,,,Frontiers in Pharmacology,Frontiers Media S.A.,Non-small Cell Lung Cancer: Current Treatment and Future Advances,Tu                    Yun-Chieh,5,,2016
Rajagopal                    Praveen,        Review       ,,The Journal of the Indian Prosthodontic Society,Wolters Kluwer - Medknow,“All-on-Four” immediate-function concept with Brånemark System implants for completely edentulous mandibles: A retrospective clinical study,Gaonkar                    Sneha Harishchandra,6,"Department of Prosthodontics, Goa Dental College and Hospital, Bambolim, Goa, India",2003
Yuan                    Jiajin,           Learning          ,,PLoS ONE,Public Library of Science,"Are cognitive processes manifested in event-related gamma, alpha, theta and delta oscillations in the EEG?",Qi                    Zhengyang,7,,1999
Thamm                    Douglas,          Drug Interactions         ,,PLoS ONE,Public Library of Science,"Metabolism and Excretion of the Novel Bioreductive Prodrug PR-104 in Mice, Rats, Dogs, and Humans",Erzinger                    Melanie M.,13,,2009
Cheng                    Quan,,,Frontiers in Oncology,Frontiers Media S.A.,Large-scale analysis reveals the specific clinical and immune features of CD155 in glioma,Zhang                    Hao,9,,2019
Salomão                    Reinaldo,,,Memórias do Instituto Oswaldo Cruz,"Instituto Oswaldo Cruz, Ministério da Saúde",HIV-1-infected children on HAART: immunologic features of three different levels of viral suppression,de Moraes-Pinto                    Maria Isabel,8,,2007
Han                    Zhongchao,,,Molecular Medicine Reports,D.A. Spandidos,Early growth response genes signaling supports strong paracrine capability of mesenchymal stem cells,Chi                    Ying,12,,2012
Canonaco                    Marcello,,,Brain Sciences,Oxford University Press,Measurement matters: Higher waist-to-hip ratio but not body mass index is associated with deficits in executive functions and episodic memory,La Marra,16,,2018
Gobec                    Stanislav,,,Frontiers in Pharmacology,Springer,Homeostatic Chemokine Receptors and Organ-specific Metastasis,Proj                    Matic,11,,2011
Wei                    Y,,,Cell Death & Disease,Nature Publishing Group,"SKLB-163, a new benzothiazole-2-thiol derivative, exhibits potent anticancer activity by affecting RhoGDI/JNK-1 signaling pathway",Nie                    C,9,,2014
Li                    Qing-Feng,,,Theranostics,Ivyspring International Publisher,"Transcript-level expression analysis of rna-seq experiments with hisat, stringtie and ballgown",Ou                    Min-Yi,8,,2016
Ko                    Li-Wei,,,"Sensors (Basel, Switzerland)",John Wiley & Sons,The neuropsychiatry of impulsivity,Chikara                    Rupesh Kumar,2,,2007
Deng                    Yong-Chuan,,,OncoTargets and therapy,Dove Medical Press,Substratezymography: a still worthwhile method for gelatinases analysis in biological samples,Cai                    Hong-Ke,4,,2016
Sibiany                    Abdulrahman,,,Saudi Medical Journal,Saudi Medical Journal,Cancer screening in the United States 2015: a review of current American cancer society guidelines and current issues in cancer screening,Gazzaz                    Faten,4,,2015
Wang                    Dalian,,,Experimental and Therapeutic Medicine,D.A. Spandidos,Visualization of Fra-1/AP-1 activation during LPS-induced inflammatory lung injury using fluorescence optical imaging,Wang                    Fei,5,,2015
Corchado                    Juan M.,,,"Sensors (Basel, Switzerland)",Springer,Swift Programming Language,Huszár,3,,2016
Haase                    Axel,        Full Papers—Imaging Methodology       ,,Magnetic Resonance in Medicine,John Wiley and Sons Inc.,Magnetic resonance‐guided high‐intensity focused ultrasound hyperthermia for recurrent rectal cancer: MR thermometry evaluation and preclinical validation,Wu                    Mingming,7,,2016
