article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Silman                 Israel,,PLoS ONE,1932-6203,Public Library of Science,Epigenetics,Stress-induced epigenetic transcriptional memory of acetylcholinesterase by HDAC4,Holtkamp                    Caroline,11,,2012,"Sophia und Fritz Heinemann-Stiftung, 2016, http://orcid.org/0000-0003-2220-519X, Rump, Katharina, We acknowledge support by the DFG Open Access Publication Funds of the Ruhr-Universität Bochum and the Sophia and Frizu Heinemann-Stiftung of the RUHR-Universität Bochum. (, www.rub.de",Sophia und Fritz Heinemann-Stiftung,2016,PMC6541299, ,
research-article,Tofail                 Syed A. M.,,Nanoscale Research Letters,1556-276X,Finnish Institute of Occupational Health,Nano Express,A decision-directed approach for prioritizing research into the impact of nanomaterials on the environment and human health,Murphy,10,,2011,"http://dx.doi.org/http://dx.doi.org/10.13039/501100006221, Cordis, 604305",Cordis,604305,PMC5110451, ,
research-article,Chen                 Qianxue,,Translational Oncology,1936-5233,Neoplasia Press,Original Research,A novel ferroptosis-related prognostic signature reveals macrophage infiltration and EMT status in bladder cancer,Tong                    Shiao,9,,2021,,,,PMC9508157, ,
research-article,O’Shaughnessy                 Kevin M.,,Physiological Reports,2051-817X,John Wiley and Sons Inc.,Original Research,"New light on the ""old"" chloride channel blocker DIDS",Murthy                    Meena,2,,2008,"British Heart Foundation, Pg 17/80/33343",University of Cambridge,Pg 17/80/33343,PMC6875656, ,UK
research-article,Kroep                 J. R.,,Breast Cancer Research and Treatment,1573-7217,Springer US,Clinical Trial,Tumour-infiltrating CD8 + lymphocytes as an independent predictive factor for pathological complete response to primary systemic therapy in breast cancer,de Groot                    A. F.,14,,2013,"http://dx.doi.org/10.13039/100004339, Sanofi",Sanofi,,PMC6534526, ,
research-article,Kim                 Sangil,,Socio-Economic Planning Sciences,0038-0121,medRxiv,Article,Mathematical models for predicting covid-19 pandemic: a review,Masum                    Mohammad,5,,2021,,Ministry of Science ICT and Future Planning,,PMC8800166, ,
research-article,Sens                 Mariana Mazzochi,,Anais Brasileiros de Dermatologia,1806-4841,Sociedade Brasileira de Dermatologia,Investigation,"Photoprotection, melasma and quality of life in pregnant
women",Ikino                    Juliana Kida,5,,2012,,,,PMC4371668, ,
research-article,Smith                 Nicola J.,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Metalloprotease cleavage of the N terminus of the orphan G protein-coupled receptor GPR37L1 reduces its constitutive activity,Coleman                    James L. J.,7,,2016,Simon and Michal Wilkenfeld Trust,Simon and Michal Wilkenfeld Trust,Australian Postgraduate Award,PMC7673139, ,
research-article,Pérez                 Valentin,,Vaccines,2076-393X,StatPearls Publishing,Article,Negative regulation of Toll-like receptor 4 signaling by IL-10–dependent microRNA-146b,Sabir                    Mumdooh J.,8,,2013,,,,PMC8705633, ,
research-article,Nadimi                 Esmaeil S.,,Journal of Diabetes Research,2314-6753,Hindawi,Research Article,Cutaneous manifestations of diabetes mellitus,Blanes-Vidal,5,,2015,"Region Southern Denmark, University of Southern Denmark",,,PMC6745171, ,
brief-report,Van der Ploeg                 Lex H.T.,,Molecular Metabolism,2212-8778,Elsevier,Brief Communication,Novel pharmacological MC4R agonists can efficiently activate mutated MC4R from obese patient with impaired endogenous agonist response,Collet                    Tinh-Hai,28,,2010,,,,PMC5641599, ,
research-article,Jones                 Chris,,PLoS ONE,1932-6203,Public Library of Science,"Cell Biology/Gene Expression, Genetics and Genomics/Gene Expression, Oncology/Neuro-Oncology",Coupled two-way clustering analysis of gene microarray data.,Murat                    Anastasia,11,"Institute of Cancer Research, United Kingdom",2000,,,,PMC2694268, ,
research-article,Samal                 Siba K.,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Determination of 50% endpoint titer using a simple formula,Shirvani                    Edris,4,,2016,,University of Maryland,,PMC7010735, ,
research-article,Campone,,Nature Communications,2041-1723,Nature Publishing Group UK,Article,"277MO SAR439859, an oral selective estrogen receptor (ER) degrader (SERD), in ER+/ HER2- metastatic breast cancer (mBC): biomarker analyses from a phase I/II study",Bardia,17,,2020,Sanofi France (no grant reference number as the study was directly supported by Sanofi),Sanofi France (no grant reference number as the study was directly supported by Sanofi),,PMC9284491, ,
research-article,Massoud                 Tarik F.,,Frontiers in Physiology,1664-042X,Thieme,Brief Research Report,Pathological considerations,Jain                    Mika S.,3,,1987b,,Department of Neurosurgery School of Medicine Stanford University,,PMC6769414, ,United States
research-article,Hunt                 Matthew,,PLoS Currents,2157-3999,Public Library of Science,Review,Earthquakes to Floods: A Scoping Review of Health-related Disaster Research in Low- and Middle-income Countries,Tansey                    Catherine M.,5,"Centre for Interdisciplinary Research in Rehabilitation, School of Physical and Occupational Therapy, McGill University, Montréal, Québec, Canada",2018,"Funding for this study was received from grant EOG 123679 from the Canadian Institutes of Health Research (principal investigator: Matthew Hunt). Dr. Hunt is supported by a Research Scholar Award from the Fonds de Recherche du Québec – Santé. At the time of working on the project, Renaud Boulanger was supported by a Master’s Award from the Fonds de recherche du Québec – Santé. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",McGill University Health Centre,,PMC6126529, ,
research-article,Lavie                 Lena,,Oxidative Medicine and Cellular Longevity,1942-0994,Hindawi Publishing Corporation,Research Article,Anti-oxidant treatment in obstructive sleep apnoea syndrome,Dyugovskaya                    Larissa,5,"The Lloyd Rigler Sleep Apnea Research Laboratory, Unit of Anatomy and Cell Biology, The Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, 31096 Haifa, Israel",2011,,,,PMC4655297, ,
research-article,Eticha,,Journal of Analytical Methods in Chemistry,2090-8873,FDA,Research Article,RP-HPLC method for the determination of cinitapride in the presence of its degradation products in bulk drug,Thangabalan,3,"School of Pharmacy, College of Health Sciences, Mekelle University, Mekelle, Ethiopia",2001,,,,PMC6136501, ,
research-article,Ma,,Cancer Cell International,1475-2867,BioMed Central,Primary Research,Epithelial-mesenchymal transition in cancer: a historical overview,Li                    Yibing,4,,2020,"Outstanding Scientific Fund of Shengjing Hospital, 201601, Ma, Xiaoxin",Outstanding Scientific Fund of Shengjing Hospital,201601,PMC8243592, ,
research-article,Tang                 Yihu,,Thoracic Cancer,1759-7714,"John Wiley & Sons Australia, Ltd",Original Articles,Control of a tumor suppressor PDCD4: Degradation mechanisms of the protein in hepatocellular carcinoma cells,Liu                    Feng,6,,2014,,Chinese Academy of Sciences,,PMC5668490, ,China
research-article,Lu                 Quan,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,The Generalized Higher Criticism for Testing SNP-Set Effects in Genetic Association Studies,Park                    Hae-Ryung,5,,2017,U.S. Department of Health & Human Services | NIH | National Institute of Environmental Health Sciences (NIEHS),U.S. Department of Health & Human Services | NIH | National Institute of Environmental Health Sciences (NIEHS),ES029097,PMC7125130, ,
research-article,Zhang                 Daoqiang,,PLoS ONE,1932-6203,Public Library of Science,Research Article,Magnetic resonance imaging of the newborn brain: automatic segmentation of brain images into 50 anatomical regions,Heckemann                    Rolf A.,8,,2013,The authors have no support or funding to report.,,,PMC4498771, ,
research-article,Alam                 Mohammad Khursheed,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Computed tomography—an increasing source of radiation exposure,Farook                    Taseef Hasan,6,,2007,"http://dx.doi.org/10.13039/501100011821, Ministry of Education – Kingdom of Saudi Arabi, 375213500, Alam, Mohammad Khursheed",Ministry of Education – Kingdom of Saudi Arabi,375213500,PMC8055911, ,
research-article,Asakura                 Atsushi,,PLoS ONE,1932-6203,Public Library of Science,Research Article,Induction and monitoring of definitive and visceral endoderm differentiation of mouse ES cells,Nagaoka                    Masato,6,,2005,"SAD was supported by grants from the National Institutes of Health (Grant Number; DK55743, DK087377, DK102716 and HG006398), and MN was supported by Grant-in-Aid for Young Scientists (B) (Grant Number: 26870230) from the Japan Society for the Promotion of Science. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC4550348, ,
research-article,Dalar.                 Levent,,Medicine,1536-5964,Wolters Kluwer Health,"Research Article, Observational Study",Pirfenidone for the treatment of Hermansky-Pudlak syndrome pulmonary fibrosis,Wu                    Wenjuan,9,,2011,,,,PMC6831253, ,
research-article,Barnett                 Amanda,,Contemporary School Psychology,2161-1505,New Orleans,Systematic Review,Supervision in school psychology: Current practices and congruence with professional standards,Ormiston,3,,1989,,Indiana University Bloomington,,PMC7953514,"A total of 93% of the sample identified as female, and 7% identified as male; 66% of respondents were currently supervising students, and 34% of the sample had supervised students in the past.",
research-article,Fang,,Bioengineered,2165-5987,Taylor & Francis,Research Paper,Rapid expression of fibronectin in the rabbit heart after myocardial infarction with and without reperfusion,Xie                    Yun,5,"Department of Emergency,",1992,"Zhejiang Medical and Health Science and Technology Plan Project, Traditional Chinese Medical science and technology plan of Zhejiang Province, 2019ZB099, This work was supported by grants from Zhejiang Medical and Health Science and Technology Plan Project (2021KY242) and Traditional Chinese Medical science and technology plan of Zhejiang Province (2019ZB099);Traditional Chinese Medical science and technology plan of Zhejiang Province [2019ZB099].",Traditional Chinese Medical science and technology plan of Zhejiang Province,2019ZB099,PMC8806781, ,China
research-article,Allard                 Stephanie,,Animals : an Open Access Journal from MDPI,2076-2615,San Diego Zoo Institute for Conservation Research,Article,A Delphi study to build consensus on the definition and use of big data in obesity research,Whittaker,8,,2019,,,,PMC8300299, ,
research-article,Ali                 Hammad,,BMC Medical Education,1472-6920,"London, BMA",Research Article,Effect of Communications Training on Medical Student Performance,Ahsen                    Noor F,7,,2003,,,,PMC2837024, ,
